# Rime user dictionary
#@/db_name	FlyDP.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	102671
#@/user_id	Dell5370_Win
a 	啊	c=156 d=1.4796 t=102671
ye chu 	也出	c=2 d=9.48682e-87 t=102671
ye de xian 	叶德娴	c=1 d=1 t=84921
ye hui 	也会	c=2 d=4.58191e-113 t=102671
ye jiao 	页脚	c=1 d=1 t=88507
ye jing 	夜景	c=1 d=0.767206 t=102671
ye jiu 	也就	c=5 d=0.131336 t=102671
ye jiu shi 	也就是	c=15 d=0.013567 t=102671
ye jiu shi shuo 	也就是说	c=5 d=2.95431e-09 t=102671
ye ke 	也可	c=0 d=2.17799e-41 t=102671
ye ke yi 	也可以	c=5 d=0.0925506 t=102671
ye ke yiaa 	也可一	c=1 d=2.18891e-40 t=102671
ye mei 	也没	c=0 d=2.43241e-76 t=102671
ye mei 	页眉	c=3 d=2.66604 t=88506
ye mei you 	也没有	c=9 d=0.000142667 t=102671
ye mei you shuo 	也没又说	c=1 d=2.4446e-75 t=102671
ye mian 	页面	c=12 d=2.37493e-29 t=102671
ye pian 	叶片	c=2 d=2.43473e-78 t=102671
ye shi 	也是	c=62 d=0.433874 t=102671
ye shou 	页首	c=3 d=3.8906e-133 t=102671
ye suan 	也算	c=1 d=1 t=86391
ye tai 	液态	c=3 d=2.67763 t=93887
ye tai jnox 	液态胶	c=1 d=1 t=93888
ye wai 	野外	c=1 d=2.39016e-16 t=102671
ye wei 	页尾	c=1 d=1.0241e-133 t=102671
ye wei hui 	业委会	c=3 d=2.99098e-77 t=102671
ye wu 	业务	c=14 d=8.02792e-05 t=102671
ye ya 	液压	c=3 d=4.16278e-21 t=102671
ye ya gang 	液压缸	c=8 d=3.62451 t=93193
ye yao 	也要	c=2 d=1.4073e-49 t=102671
ye you 	也有	c=2 d=1.04927e-07 t=102671
ye zai 	也在	c=1 d=6.76991e-88 t=102671
ye zhu 	业主	c=7 d=1.7543e-77 t=102671
ye zhu yao 	也主要	c=1 d=1.72297e-77 t=102671
ye zi 	叶子	c=1 d=1.15086e-06 t=102671
yea 	页	c=13 d=2.92628e-10 t=102671
yed 	液	c=3 d=1.53459e-09 t=102671
yed; wwrl; 	液位	c=6 d=5.14418e-142 t=102671
yedk; 	冶	c=1 d=2.01274e-141 t=102671
yei 	靥	c=1 d=2.94349e-54 t=102671
yek 	叶	c=15 d=5.71566e-10 t=102671
yel 	野	c=1 d=2.71302e-36 t=102671
yev 	也	c=1 d=7.98762e-34 t=102671
yhe 	阳	c=1 d=1.79262e-102 t=102671
yhm 	杨	c=19 d=5.19619e-05 t=102671
yhm 	样	c=11 d=4.98295e-12 t=102671
yht 	垟	c=0 d=1.76419e-62 t=102671
yi 	一	c=33 d=0.99005 t=102671
yi 	壹	c=2 d=1.27353e-33 t=102671
yi 	已	c=1 d=2.71831e-147 t=102671
yi an 	一案	c=5 d=7.15391e-90 t=102671
yi bai 	一百	c=1 d=2.30388e-54 t=102671
yi ban 	一半	c=7 d=2.12573e-19 t=102671
yi ban 	一般	c=22 d=0.145876 t=102671
yi ban ban 	一般般	c=1 d=1 t=94279
yi bei 	一杯	c=1 d=1.16977e-80 t=102671
yi bei zi 	一辈子	c=1 d=2.34643e-34 t=102671
yi bi 	一笔	c=2 d=0.932394 t=102671
yi bi kuan 	一笔款	c=1 d=8.9996e-55 t=102671
yi bian 	一边	c=3 d=7.2007e-49 t=102671
yi bian 	一遍	c=3 d=3.43242e-11 t=102671
yi bing 	一并	c=12 d=1.31765e-10 t=102671
yi bo 	一波	c=1 d=4.39776e-101 t=102671
yi bu fen 	一部分	c=8 d=0.000757869 t=102671
yi bu fen ren 	一部分人	c=1 d=1 t=101231
yi can 	一餐	c=1 d=1.84614e-07 t=102671
yi ce 	一侧	c=51 d=0.188262 t=102671
yi ceng 	一层	c=4 d=1.38656e-19 t=102671
yi chang 	异常	c=1 d=1.17511e-16 t=102671
yi chi 	义齿	c=4 d=7.72243e-55 t=102671
yi chu 	溢出	c=1 d=1.67843e-63 t=102671
yi ci 	一次	c=19 d=0.102797 t=102671
yi ci 	依次	c=26 d=1.02818e-07 t=102671
yi ci xing 	一次性	c=1 d=3.07815e-139 t=102671
yi da li 	意大利	c=2 d=1.24947e-32 t=102671
yi dai yi lu 	一带一路	c=1 d=1.21437e-79 t=102671
yi dan 	一旦	c=33 d=0.141564 t=102671
yi dao 	移到	c=1 d=6.40804e-30 t=102671
yi dian 	一点	c=17 d=5.46194e-07 t=102671
yi dian dian 	一点点	c=1 d=3.47674e-101 t=102671
yi dian yi dian 	一点一点	c=1 d=1.79996e-150 t=102671
yi ding 	一定	c=19 d=0.126417 t=102671
yi dong 	移动	c=164 d=1.24314 t=102671
yi dong duan 	移动端	c=1 d=1.51932e-09 t=102671
yi duan 	一段	c=4 d=5.9834e-98 t=102671
yi duan 	一端	c=50 d=0.417699 t=102671
yi dui 	一堆	c=5 d=0.373439 t=102671
yi fang 	一方	c=2 d=3.26026e-80 t=102671
yi fang 	乙方	c=5 d=3.39596e-33 t=102671
yi fang mian 	一方面	c=6 d=1.12726e-07 t=102671
yi fen 	一份	c=20 d=0.000100115 t=102671
yi fen qian 	一分钱	c=1 d=5.86429e-75 t=102671
yi fu 	衣服	c=4 d=8.1379e-18 t=102671
yi gang 	一刚	c=1 d=6.60678e-07 t=102671
yi ge 	一个	c=225 d=0.82926 t=102671
yi ge gong neng 	一个功能	c=1 d=1.87105e-47 t=102671
yi ge gong si 	一个公司	c=1 d=1.49309e-10 t=102671
yi ge ren 	一个人	c=4 d=8.32803e-25 t=102671
yi ge shi 	一个是	c=1 d=3.63514e-37 t=102671
yi ge yue 	一个月	c=14 d=0.856415 t=102671
yi ge zhi cheng vum 	一个支撑柱	c=1 d=9.07488e-06 t=102671
yi gen 	一根	c=1 d=3.87284e-135 t=102671
yi gong 	一共	c=8 d=0.000567086 t=102671
yi hou 	以后	c=22 d=3.73566e-05 t=102671
yi hu 	翼虎	c=4 d=1 t=102671
yi hu ren yuan 	医护人员	c=1 d=1 t=97860
yi hua 	异化	c=2 d=3.44764e-61 t=102671
yi huan 	一环	c=0 d=5.65026e-21 t=102671
yi hui 	一会	c=36 d=0.535261 t=102671
yi ji 	以及	c=48 d=0.465432 t=102671
yi jia 	一家	c=3 d=5.27472e-05 t=102671
yi jian 	一件	c=30 d=6.2232e-09 t=102671
yi jian 	一键	c=3 d=1.34729e-07 t=102671
yi jian 	意见	c=6 d=2.29506e-16 t=102671
yi jian chen shu 	意见陈述	c=10 d=3.46987e-19 t=102671
yi jian chen shu uuv 	意见陈述书	c=6 d=1.27665 t=94207
yi jiao 	一脚	c=1 d=1 t=87817
yi jing 	已经	c=134 d=0.923116 t=102671
yi ju 	一句	c=1 d=2.76718e-92 t=102671
yi ju 	依据	c=1 d=1.47162e-16 t=102671
yi ju hua 	一句话	c=1 d=1.42852e-79 t=102671
yi kai shi 	一开始	c=2 d=2.45377e-119 t=102671
yi kou qi 	一口气	c=1 d=1.97329e-114 t=102671
yi kuai 	一块	c=4 d=1.28132e-34 t=102671
yi kuan 	一款	c=1 d=6.20702e-08 t=102671
yi lai 	以来	c=3 d=5.30206e-07 t=102671
yi lai 	依赖	c=1 d=3.60426e-113 t=102671
yi lan 	一览	c=4 d=8.61266e-38 t=102671
yi li 	一例	c=1 d=2.25896e-87 t=102671
yi li 	伊利	c=1 d=9.22496e-140 t=102671
yi liang 	一两	c=1 d=1.61669e-122 t=102671
yi liang 	一辆	c=3 d=2.56067e-14 t=102671
yi liang ge 	一两个	c=1 d=1.29742e-122 t=102671
yi liao 	医疗	c=5 d=3.15702e-25 t=102671
yi liu 	溢流	c=3 d=0.46481 t=102671
yi liu kong 	溢流孔	c=1 d=1.74023e-106 t=102671
yi lu 	一路	c=1 d=0.0107269 t=102671
yi men 	一门	c=1 d=5.8913e-129 t=102671
yi mian 	以免	c=5 d=1.36245e-21 t=102671
yi miao 	一秒	c=3 d=2.64747e-13 t=102671
yi miao 	疫苗	c=3 d=2.66075e-13 t=102671
yi mo yi yang 	一模一樣	c=1 d=1 t=88230
yi nei 	以内	c=1 d=1.60136e-10 t=102671
yi nian 	一年	c=12 d=0.00557201 t=102671
yi nian 	意念	c=2 d=4.37737e-126 t=102671
yi nian ban 	一年半	c=1 d=1.99541e-10 t=102671
yi nian du 	一年度	c=0 d=0.1 t=79206
yi pai 	一排	c=0 d=8.85929e-77 t=102671
yi pi 	一批	c=5 d=7.65189e-17 t=102671
yi pian 	一篇	c=2 d=2.77697e-16 t=102671
yi ping 	一瓶	c=2 d=6.67594e-100 t=102671
yi qi 	一起	c=34 d=2.06091e-07 t=102671
yi qi 	仪器	c=1 d=3.58091e-66 t=102671
yi qi shang 	一起上	c=1 d=3.56305e-66 t=102671
yi qian 	一千	c=1 d=1 t=100596
yi qian 	以前	c=15 d=8.15202e-09 t=102671
yi qing 	疫情	c=6 d=2.60133e-12 t=102671
yi quan 	一圈	c=1 d=2.91708e-95 t=102671
yi ren 	一人	c=1 d=6.60951e-100 t=102671
yi ri you 	一日游	c=1 d=3.58994e-125 t=102671
yi se lie 	以色列	c=1 d=1 t=101705
yi shai 	一晒	c=0 d=2.66627e-09 t=102671
yi shai sui 	一晒随	c=1 d=2.67964e-08 t=102671
yi shan 	一闪	c=1 d=1.50472e-13 t=102671
yi shang 	以上	c=7 d=2.17244e-10 t=102671
yi shen 	一审	c=16 d=0.392485 t=102671
yi sheng 	医生	c=5 d=1.13061 t=100776
yi shou 	一手	c=1 d=1.61075e-20 t=102671
yi shou 	已收	c=5 d=1.90124e-09 t=102671
yi shuang 	一双	c=4 d=2.90752 t=100591
yi shuo 	一说	c=4 d=4.06626e-32 t=102671
yi si 	意思	c=19 d=0.541479 t=102671
yi tang 	一趟	c=6 d=0.332871 t=102671
yi tao 	一套	c=5 d=1.56965e-10 t=102671
yi ti 	一体	c=8 d=0.137381 t=102671
yi ti hua 	一体化	c=1 d=3.62588e-07 t=102671
yi tian 	一天	c=8 d=1.17108e-05 t=102671
yi tian sa 	一天撒	c=1 d=2.2079e-24 t=102671
yi tiao 	一条	c=3 d=1.59034e-18 t=102671
yi tiao long 	一条龙	c=1 d=0.00489275 t=102671
yi tong 	一同	c=6 d=5.68747e-09 t=102671
yi wai 	以外	c=8 d=3.001e-17 t=102671
yi wai 	意外	c=3 d=5.37417e-107 t=102671
yi wan 	一万	c=1 d=6.66912e-88 t=102671
yi wei 	以为	c=8 d=0.108609 t=102671
yi wen 	疑问	c=1 d=6.11838e-74 t=102671
yi wu 	义务	c=1 d=6.43139e-14 t=102671
yi wu 	异物	c=1 d=2.09866e-74 t=102671
yi xia 	一下	c=230 d=0.913931 t=102671
yi xia 	以下	c=1 d=1.63656e-148 t=102671
yi xiang 	一想	c=1 d=5.54894e-13 t=102671
yi xie 	一些	c=31 d=0.176626 t=102671
yi xing 	异性	c=3 d=4.67622e-110 t=102671
yi yan 	一眼	c=1 d=2.4491e-126 t=102671
yi yang 	一样	c=29 d=8.87222e-05 t=102671
yi yi 	一一	c=6 d=1.9603e-07 t=102671
yi yi 	意义	c=5 d=2.26033e-06 t=102671
yi yu 	易于	c=3 d=2.40787e-44 t=102671
yi yu zheng 	抑郁症	c=1 d=1.09173e-150 t=102671
yi yuan 	医院	c=15 d=4.75339e-06 t=102671
yi yuan 	意愿	c=3 d=2.06326e-21 t=102671
yi zhang 	一张	c=6 d=0.494109 t=102671
yi zhang piao 	一张票	c=1 d=1.99732e-80 t=102671
yi zhen 	一针	c=1 d=7.97243e-41 t=102671
yi zhi 	一直	c=12 d=0.000253537 t=102671
yi zhi 	一致	c=47 d=0.343015 t=102671
yi zhi ban jie 	一知半解	c=1 d=1 t=79445
yi zhi fu 	已支付	c=2 d=1.99501 t=89866
yi zhi shou 	一只手	c=1 d=1.05332e-111 t=102671
yi zhi xing 	一致性	c=2 d=0.00726273 t=102671
yi zhong 	一种	c=204 d=1.67435 t=102671
yi zhou 	一周	c=3 d=9.95351e-05 t=102671
yia xia 	一下	c=1 d=4.32358e-48 t=102671
yiaa 	一	c=0 d=2.17799e-41 t=102671
yiaa; lai 	一来	c=2 d=4.83568e-12 t=102671
yib 	益	c=1 d=2.44851e-35 t=102671
yic 	艾	c=1 d=6.00252e-55 t=102671
yid 	溢	c=2 d=9.17798e-80 t=102671
yid lnm 	溢料	c=3 d=3.35746e-79 t=102671
yid; lqd; ccm 	溢流槽	c=10 d=1.82826e-101 t=102671
yid; lqd; kou 	溢流口	c=6 d=1.5107e-101 t=102671
yidx 	义	c=2 d=2.89159e-80 t=102671
yig 	廙	c=1 d=1.63261e-149 t=102671
yih 	移	c=4 d=4.85826e-08 t=102671
yih xia 	移下	c=1 d=5.25539e-50 t=102671
yik 	咦	c=1 d=1.39027e-141 t=102671
yiku; 	医	c=1 d=1 t=98161
yil 	意	c=4 d=1.66756e-16 t=102671
yilx 	意	c=11 d=2.9265e-13 t=102671
yilx; jxl 	意甲	c=2 d=3.72176e-137 t=102671
yin cang 	隐藏	c=1 d=0.965605 t=102671
yin chu 	引出	c=2 d=1.10605e-09 t=102671
yin ci 	因此	c=27 d=0.00708341 t=102671
yin dao 	引导	c=26 d=5.68521e-05 t=102671
yin dao kkt 	引导块	c=2 d=1.85375e-77 t=102671
yin dao qik 	引导器	c=2 d=1.83527 t=96856
yin du 	印度	c=1 d=2.6642e-87 t=102671
yin er 	因而	c=1 d=1.43744e-63 t=102671
yin hang 	银行	c=16 d=0.847894 t=102671
yin hang ka 	银行卡	c=3 d=1.02636e-12 t=102671
yin hao 	引号	c=3 d=0.000173532 t=102671
yin hua 	印花	c=2 d=4.15405e-99 t=102671
yin hua shui 	印花税	c=26 d=3.67117e-06 t=102671
yin huan 	隐患	c=1 d=4.7975e-07 t=102671
yin ji 	印记	c=2 d=1.94649 t=83528
yin ji ban 	阴极板	c=2 d=3.70392e-132 t=102671
yin jin 	引进	c=1 d=1.13485e-47 t=102671
yin li 	引力	c=3 d=5.11294e-109 t=102671
yin li hrw 	引力环	c=10 d=4.1188e-116 t=102671
yin liang 	音量	c=1 d=8.69126e-86 t=102671
yin liu 	引流	c=0 d=0.1 t=96973
yin liu kou 	引流口	c=8 d=4.29018 t=97415
yin pin 	音频	c=1 d=5.36195e-139 t=102671
yin qi 	引起	c=1 d=3.97655e-93 t=102671
yin shua fei 	印刷费	c=1 d=1.61377e-42 t=102671
yin si 	隐私	c=4 d=7.59389e-104 t=102671
yin su 	因素	c=4 d=0.00543443 t=102671
yin wei 	因为	c=69 d=0.650509 t=102671
yin wei ni men 	因为你们	c=1 d=1 t=84090
yin wo 	因我	c=1 d=0.532592 t=102671
yin wu 	印务	c=3 d=4.15348e-17 t=102671
yin xiang 	印象	c=2 d=0.0596059 t=102671
yin xiao 	音效	c=4 d=1.87889e-08 t=102671
yin xun 	音讯	c=1 d=2.48086e-13 t=102671
yin yong 	引用	c=10 d=6.03037e-09 t=102671
yin yue 	音乐	c=4 d=3.6743e-16 t=102671
yin zheng 	引证	c=2 d=2.49581e-16 t=102671
ying 	应	c=1 d=1.21234e-30 t=102671
ying bian 	应变	c=1 d=1.70977e-16 t=102671
ying cun 	英寸	c=2 d=1.09409e-11 t=102671
ying dang 	应当	c=1 d=0.000497955 t=102671
ying gai 	应该	c=94 d=0.79648 t=102671
ying gai shi 	应该是	c=2 d=5.1117e-18 t=102671
ying ge lan 	英格兰	c=2 d=1.98647e-16 t=102671
ying ji che dao 	应急车道	c=1 d=2.3993e-149 t=102671
ying jian 	硬件	c=16 d=2.60088e-10 t=102671
ying jian pei zhi 	硬件配置	c=1 d=1.04664e-95 t=102671
ying li 	盈利	c=1 d=1.1648e-30 t=102671
ying mian 	迎面	c=3 d=9.60043e-46 t=102671
ying pan 	硬盘	c=5 d=5.98111e-13 t=102671
ying pan he 	硬盘盒	c=1 d=1.97819e-55 t=102671
ying pian 	影片	c=3 d=4.29172e-98 t=102671
ying tao 	樱桃	c=2 d=1.81427e-08 t=102671
ying wei 	应为	c=1 d=1.14824e-38 t=102671
ying wen 	英文	c=5 d=4.55707 t=102671
ying xiang 	影像	c=1 d=3.38157e-98 t=102671
ying xiang 	影响	c=52 d=9.09992e-09 t=102671
ying xiang li 	影响力	c=1 d=1 t=83100
ying xiong 	英雄	c=1 d=1.89707e-33 t=102671
ying ye 	营业	c=3 d=3.55968e-17 t=102671
ying ye zhi zhao 	营业执照	c=1 d=1 t=85743
ying yong 	应用	c=14 d=1.1374e-09 t=102671
ying yu 	英语	c=22 d=7.84998e-06 t=102671
ying yun 	应运	c=1 d=1 t=91660
yio 	易	c=3 d=0.427415 t=102671
yirv 	亿	c=5 d=0.00876668 t=102671
yirv; 	亿	c=3 d=1.16571e-91 t=102671
yiry; 	仪	c=4 d=1.93369e-81 t=102671
yiua; 	壹	c=1 d=0.0875977 t=102671
yiv 	乙	c=1 d=4.01186e-50 t=102671
yiv 	以	c=71 d=1.51607 t=102671
yiv 	已	c=12 d=0.0603506 t=102671
yiv ge nan 	以个男	c=1 d=1.67102e-11 t=102671
yiv hm 	以噷	c=1 d=1.16937e-76 t=102671
yiv shen bao 	已申报	c=2 d=0.606531 t=102671
yiv shou quan 	已授权	c=1 d=3.75822e-17 t=102671
yiv ti jiao 	以提交	c=1 d=1 t=88566
yiv uji 	以蟮	c=1 d=8.647e-26 t=102671
yivv 	已	c=3 d=4.68018e-31 t=102671
yivv shen bao 	已申报	c=19 d=0.425309 t=102671
yivv; duy 	已读	c=1 d=3.17706e-70 t=102671
yiw 	亦	c=1 d=1 t=98956
yiwd; 	奕	c=1 d=8.7774e-55 t=102671
yiz 	逸	c=1 d=9.96029e-13 t=102671
yizd; ran 	逸然	c=1 d=3.98807e-127 t=102671
yjb 	宴	c=1 d=0.00402593 t=102671
yjd 	淹	c=1 d=1 t=101674
yjdk 	沿	c=3 d=0.228514 t=102671
yjdk; 	沿	c=222 d=1.7561 t=102671
yjf 	艳	c=1 d=4.85067e-19 t=102671
yji 	雁	c=3 d=2.64321e-19 t=102671
yjo 	眼	c=2 d=1.55317e-107 t=102671
yjz; uioc; 	延时	c=3 d=2.26637e-99 t=102671
ykc 	英	c=1 d=5.93193e-151 t=102671
ykd 	瀛	c=1 d=2.50555e-100 t=102671
ykg 	膺	c=1 d=1.90879e-76 t=102671
ykg de 	膺的	c=1 d=5.54988e-15 t=102671
yok 	哟	c=4 d=3.29661e-34 t=102671
yong 	用	c=217 d=0.194266 t=102671
yong che 	用车	c=2 d=2.35355e-99 t=102671
yong ci 	永磁	c=1 d=1.4885e-117 t=102671
yong ci ti 	永磁体	c=15 d=8.55255e-91 t=102671
yong ci tpj 	永磁铁	c=11 d=3.0498e-116 t=102671
yong de 	用的	c=1 d=1.30966e-56 t=102671
yong dian liang 	用电量	c=5 d=6.10284e-28 t=102671
yong dui 	用对	c=1 d=1 t=79500
yong fa 	用法	c=3 d=3.81765e-18 t=102671
yong guo 	用过	c=2 d=0.0871609 t=102671
yong hu 	用户	c=32 d=5.37832e-20 t=102671
yong hu ce 	用户侧	c=6 d=9.80178e-29 t=102671
yong ju 	用具	c=1 d=0.00479587 t=102671
yong lai 	用来	c=14 d=0.0816756 t=102671
yong liang 	用量	c=2 d=2.18868e-29 t=102671
yong neng 	用能	c=2 d=4.03892e-28 t=102671
yong pin 	用品	c=1 d=9.30778e-10 t=102671
yong qi 	勇气	c=1 d=3.21357e-28 t=102671
yong qi lai 	用起来	c=2 d=1.89777e-08 t=102671
yong qi liang 	用气量	c=9 d=9.54367e-28 t=102671
yong shou 	用手	c=2 d=0.775891 t=102671
yong tu 	用途	c=5 d=1.05687e-33 t=102671
yong wan 	用完	c=2 d=1.27628e-17 t=102671
yong yi 	用以	c=1 d=1.15982e-09 t=102671
yong yong 	用用	c=1 d=5.02259e-18 t=102671
yong you 	拥有	c=1 d=1 t=79780
yong yu 	用于	c=101 d=0.389068 t=102671
yong yu zu dang 	用于阻挡	c=1 d=2.41305e-128 t=102671
yong yuan 	永远	c=2 d=9.79506e-10 t=102671
yong zai 	用在	c=2 d=9.1992e-19 t=102671
you 	又	c=44 d=0.20631 t=102671
you 	有	c=695 d=2.2395 t=102671
you bi yao 	有必要	c=1 d=5.69891e-62 t=102671
you bian 	右边	c=2 d=4.95625e-37 t=102671
you bian 	邮编	c=12 d=1.24799e-18 t=102671
you bie yu 	有别于	c=1 d=6.33975e-51 t=102671
you bu shi 	又不是	c=5 d=5.83247e-36 t=102671
you ce 	右侧	c=1 d=5.77521e-42 t=102671
you che 	油车	c=1 d=2.75751e-139 t=102671
you ci 	由此	c=3 d=2.7953e-112 t=102671
you ci ke jian 	由此可见	c=1 d=1.7763e-112 t=102671
you cuo 	有错	c=0 d=6.50731e-06 t=102671
you de 	有得	c=3 d=2.10859e-12 t=102671
you dian 	优点	c=14 d=0.0675424 t=102671
you dian 	有点	c=26 d=0.496585 t=102671
you dian duo 	有点多	c=1 d=4.79995e-13 t=102671
you dian gui 	有点贵	c=1 d=1.28246e-15 t=102671
you dian mang 	有点忙	c=3 d=3.03122e-17 t=102671
you dian wen ti 	有点问题	c=1 d=1 t=79960
you dian xiao 	有点小	c=1 d=2.7099e-140 t=102671
you du 	有毒	c=1 d=1 t=95605
you fei 	油费	c=1 d=1 t=95331
you fei 	邮费	c=3 d=2.21251e-38 t=102671
you feng xian 	有风险	c=1 d=5.93996e-20 t=102671
you ge 	有个	c=14 d=0.00843808 t=102671
you guai 	右拐	c=2 d=1.89137 t=102589
you guan 	有关	c=7 d=1.43182e-17 t=102671
you guan 	油管	c=3 d=1.64923e-33 t=102671
you guo 	有过	c=1 d=1.36015e-148 t=102671
you hu 	遊戲	c=1 d=3.521e-44 t=102671
you hua 	优化	c=16 d=0.0531307 t=102671
you hui 	优惠	c=4 d=5.52032e-11 t=102671
you hui 	又会	c=5 d=1.29913e-12 t=102671
you hui quan 	优惠券	c=1 d=1.54439e-25 t=102671
you ji 	有机	c=2 d=9.53174e-25 t=102671
you ji 	邮寄	c=10 d=2.02707e-25 t=102671
you ji ge 	有几个	c=1 d=8.04056e-141 t=102671
you jian 	右键	c=10 d=0.000316611 t=102671
you jian 	邮件	c=12 d=0.053757 t=102671
you ke neng 	有可能	c=1 d=3.31493e-11 t=102671
you kong 	有空	c=3 d=2.63517e-17 t=102671
you kuan 	有款	c=1 d=3.99104e-77 t=102671
you li shu 	有理数	c=1 d=1 t=82301
you li you ju 	有理有据	c=1 d=5.44038e-104 t=102671
you li yu 	有利于	c=58 d=0.509156 t=102671
you liang ge 	有两个	c=1 d=0.418952 t=102671
you liang zhong 	有两种	c=1 d=1 t=100430
you man 	有慢	c=1 d=6.52262e-62 t=102671
you me 	有么	c=1 d=1.46727e-40 t=102671
you mei you 	有没有	c=82 d=0.781485 t=102671
you men 	油门	c=3 d=1.34972e-14 t=102671
you nei 	有内	c=1 d=3.50071e-123 t=102671
you nei 	由内	c=0 d=3.55362e-124 t=102671
you nei xiang wai 	由内向外	c=1 d=3.57143e-123 t=102671
you qian 	有钱	c=1 d=1 t=83983
you ren 	有人	c=8 d=0.000617396 t=102671
you shang xiang xia 	由上向下	c=4 d=0.126186 t=102671
you shen me 	有什么	c=1 d=2.63814e-89 t=102671
you shi 	又是	c=4 d=0.955997 t=102671
you shi hou 	有时候	c=18 d=0.679404 t=102671
you shi jian 	有时间	c=1 d=4.16211e-12 t=102671
you shi qing 	有事情	c=1 d=1.28224e-13 t=102671
you shi tu 	右视图	c=1 d=1.29932e-51 t=102671
you shuo 	又说	c=0 d=2.43241e-76 t=102671
you wen ti 	有问题	c=6 d=1.83244e-37 t=102671
you wu 	有误	c=2 d=1.59305e-37 t=102671
you xi 	游戏	c=4 d=3.82394e-12 t=102671
you xia 	右下	c=1 d=2.25497e-125 t=102671
you xia xiang shang 	由下向上	c=2 d=9.67415e-23 t=102671
you xian 	优先	c=9 d=2.2763e-17 t=102671
you xian 	有线	c=1 d=3.67281e-70 t=102671
you xian 	有限	c=4 d=1.61322e-38 t=102671
you xian gong si 	有限公司	c=24 d=4.04642e-10 t=102671
you xian shen iam 	有现身查	c=1 d=1 t=84263
you xiang 	邮箱	c=9 d=0.000812821 t=102671
you xiao 	有效	c=14 d=1.75388e-13 t=102671
you xiao xi 	有消息	c=1 d=4.63644e-17 t=102671
you xie 	有些	c=16 d=0.00375375 t=102671
you xie gong si 	有些公司	c=1 d=9.77043e-110 t=102671
you xie ren 	有些人	c=2 d=8.03749e-19 t=102671
you xie shi qing 	有些事情	c=1 d=1 t=94882
you xu yao 	有需要	c=1 d=7.23512e-17 t=102671
you xuan 	优选	c=1 d=1.23545e-105 t=102671
you yao 	又要	c=4 d=1.99162e-17 t=102671
you yi 	有一	c=0 d=5.70474e-75 t=102671
you yi ci 	有一次	c=2 d=1.30498e-14 t=102671
you yi ge 	有一个	c=7 d=7.56041e-05 t=102671
you yi ju hua 	有一句话	c=1 d=5.73333e-74 t=102671
you yi xie 	有一些	c=5 d=8.35981e-11 t=102671
you ying xiang 	有影响	c=1 d=9.04567e-115 t=102671
you yong 	游泳	c=2 d=1 t=89087
you you 	又有	c=7 d=1.96537e-08 t=102671
you you 	悠悠	c=1 d=4.17359e-15 t=102671
you yu 	由于	c=140 d=1.25973 t=102671
you yuan 	有源	c=8 d=6.62343e-23 t=102671
you zhe me 	有这么	c=1 d=0.000219315 t=102671
yrd 	源	c=2 d=8.1673e-31 t=102671
yre 	院	c=5 d=7.85727e-27 t=102671
yri 	原	c=36 d=1.04644 t=102671
yri che 	原车	c=1 d=1 t=80444
yrk 	圜	c=1 d=1 t=86735
yrk guang shan 	圜光栅	c=-1 d=0 t=86747
yrkr 	圆	c=1 d=1 t=89892
yrkr; 	圆	c=2 d=4.44768e-28 t=102671
yrkr; guang shan 	圆光栅	c=6 d=1.53607 t=91230
yrn 	媛	c=1 d=1.18446e-21 t=102671
yrs 	缘	c=2 d=2.17207e-08 t=102671
yrt 	袁	c=5 d=1.00001 t=102538
yrz 	远	c=6 d=0.000850233 t=102671
ysd 	永	c=4 d=0.000413853 t=102671
ysd 	泳	c=1 d=2.04614e-70 t=102671
yss 	勇	c=3 d=2.74742 t=100039
ysw 	雍	c=0 d=0.1 t=91478
ytm 	阅	c=1 d=2.06629e-97 t=102671
yts 	约	c=3 d=1.46709 t=93275
ytt 	越	c=3 d=3.59431e-14 t=102671
ytx 	悦	c=3 d=0.985112 t=102671
yu 	与	c=447 d=2.14672 t=102671
yu 	于	c=19 d=0.624493 t=102671
yu ai chi 	与爱吃	c=1 d=9.28255e-125 t=102671
yu an 	预案	c=1 d=1 t=101659
yu bei 	预备	c=3 d=1.05816e-112 t=102671
yu chu li 	预处理	c=1 d=1.28679e-84 t=102671
yu chui chu 	与吹出	c=1 d=1 t=85151
yu cun 	预存	c=0 d=5.52937e-90 t=102671
yu cun kuan 	预存款	c=1 d=0.790571 t=102671
yu cun vir 	预存值	c=1 d=5.55708e-89 t=102671
yu dao 	遇到	c=21 d=0.438235 t=102671
yu dao guo 	遇到过	c=2 d=3.36206e-30 t=102671
yu ding 	预订	c=2 d=1 t=100473
yu dui 	与对	c=1 d=1 t=101642
yu e 	余额	c=1 d=6.4738e-150 t=102671
yu fa 	语法	c=2 d=6.05816e-08 t=102671
yu fu kuan 	预付款	c=1 d=1.60408e-30 t=102671
yu ijk 	与啴	c=1 d=2.49526e-81 t=102671
yu lan 	预览	c=2 d=0.0515605 t=102671
yu mao 	羽毛	c=1 d=1 t=90369
yu ming 	域名	c=5 d=4.89676e-42 t=102671
yu pan 	预判	c=2 d=0.839457 t=102671
yu she 	预设	c=1 d=2.43705e-68 t=102671
yu shi 	于是	c=4 d=4.16423e-18 t=102671
yu shi ju jin 	与时俱进	c=1 d=1 t=87569
